id,source
12352,-8335172610478210067
93196,-7176979510164385492
81118,1180084845618613386
15425,3175810573251510760
104118,-6986005580982024066
82097,-7155863812760340485
45177,3457085817810831227
65154,6938596655753390886
20579,-9036908390349249792
21199,-3638938040116504304
66668,2945944180504095458
12457,-971676377047800082
11106,3606087204037437463
60856,-7705375641447214656
97284,-2728984004347936411
26953,-4641735499956732175
47024,8251008469187837723
40845,5111782613796168645
88845,664384864052860477
61642,511383914241789462
9097,-940939739391593831
50292,1789177015337544255
45718,-5367449799349242067
70934,-1430079240535925083
83454,8033295933067801435
70781,1154443845622609319
36069,-1947064067791096007
21097,-1568586396634479438
103558,-3034532766966686881
33188,-3309210959257765375
8066,5937096423744821402
30770,8572377950285919890
75473,368574723811385070
13921,-4013709354842973845
12557,-2431177860465457768
87962,-648869600577696583
97851,-2945870628404339667
95698,-7353071444399104995
79160,4529231737640976265
87544,9104420865937312536
78417,5037651995465818283
86939,-2883681852253555561
9206,-4746548180371602620
58168,-7037940390494910647
43940,2919814402697966089
69044,-2096397022692237160
30212,8572377950285919890
103409,1041457921107175891
87171,-959969191141705105
21053,-1508949022483904011
93541,-204218137237509815
63845,2177475077146615044
57384,2303918895918055378
86228,-940939739391593831
8159,-2413079912174613476
60147,6384053416461265385
79107,7000902262540401556
67744,-6747634744197548825
88406,664384864052860477
58944,-3481281246003418647
33769,-4244083445236249784
34246,-5492241037209381016
91324,-2456521456797337551
24359,-1570582482776003243
36253,-6565123459490609218
98130,-8563967009573459777
95398,-6887432199854047931
101204,-7155863812760340485
28758,-895252807456032623
3164,-3017543554167410993
23380,3499781394483588345
42449,-6278816830601869178
2045,2945944180504095458
101427,-3034532766966686881
53436,1511596184043954541
66657,-8145609915598413437
101381,5480309816671896282
84265,-446770212323481769
74014,1319136192675515169
31113,-7118886246241951077
38713,4517095090629592346
36419,1041457921107175891
37838,664384864052860477
52511,754555646821326713
94432,8746907028199860102
25425,-6164857392078330474
50257,-2260069018569628335
4555,1113030965054037836
104098,6735281986902840453
56388,-2811502272620733344
69294,7818639663583741813
48450,7278059579915615606
54642,2663458063516532582
56856,-5945617637942121554
78132,3095685133929236976
41971,3353856219169766284
43212,-2431177860465457768
20670,3263022753228392991
58758,247027940822660128
50603,-6404926265164501753
98146,7767044078450235562
56441,-5005244339924185398
55420,3353856219169766284
67353,-3875622111726099900
79352,-3034532766966686881
66371,-510619878950507438
33446,5249170492041465064
73044,-3503204214806357538
23219,-7132213643545496610
24822,3278181411536496217
71846,-7236656919387491255
50656,-2431177860465457768
81988,-4436026839221146058
75399,6799292868336785551
30350,-6637857104792172147
75826,6864486874992329382
95831,-6096869603168358832
18808,6960183885978988771
80101,-4331381726546801484
28657,664384864052860477
66784,2672301946316297974
100192,6384053416461265385
98247,-35701379511239840
52203,-1007065168320836233
48596,2727970220779723981
7392,5016752761898247628
44244,-7168441468205738606
11438,6864486874992329382
101335,-923823440614290949
99065,7268888098615133048
100322,-8511273708812867383
102446,1721630814879843686
10804,8907476813857753738
6240,897719211508918606
50483,7353128343484806635
5618,-2456521456797337551
5422,-3875622111726099900
87605,-2108783771316333610
50881,4859780600262723448
25353,8872491917601342765
97663,-3859454758636460983
20094,-6565123459490609218
77792,1737981890155861598
23255,-8696479871836914144
63554,4305089111915198899
242,-5261552087790692605
89751,-2096397022692237160
31185,4794897185538124906
20655,-1453152215811297200
48135,-1060526220203558863
28480,-4331381726546801484
52398,-1230396030065978712
78731,-6984513356320894917
74378,4457497589447910041
